TOPICOS AVANCADOS EM COMPUTADORES ->  | Peso Total = 0
METODOLOGIA CIENTIFICA ->  | Peso Total = 0
INTRODUCAO A ALGEBRA LINEAR ->  | Peso Total = 0
INTROD SISTEMAS COMPUTACIONAIS ->  | Peso Total = 0
INFORMATICA E SOCIEDADE ->  | Peso Total = 0
FUNDAMENTOS TEOR DA COMPUTACAO -> LOGICA COMPUTACIONAL 1 ->  | Peso Total = 12
CALCULO 1 -> PROJETO E ANALISE DE ALGORITMOS ->  | Peso Total = 12
ALGORITMOS PROGR COMPUTADORES -> ESTRUTURAS DE DADOS -> INTRODUCAO A INTELIGENCIA ARTIFICIAL ->  | Peso Total = 12
ALGORITMOS PROGR COMPUTADORES -> ESTRUTURAS DE DADOS -> TEORIA E APLICACAO DE GRAFOS ->  | Peso Total = 16
ALGORITMOS PROGR COMPUTADORES -> ESTRUTURAS DE DADOS -> COMPUTACAO EXPERIMENTAL ->  | Peso Total = 16
CALCULO 1 -> PROBABILIDADE E ESTATISTICA -> COMPUTACAO EXPERIMENTAL ->  | Peso Total = 20
ALGORITMOS PROGR COMPUTADORES -> ESTRUTURAS DE DADOS -> TECNICAS DE PROGRAMACAO 1 -> ENGENHARIA DE SOFTWARE ->  | Peso Total = 20
ALGORITMOS PROGR COMPUTADORES -> ESTRUTURAS DE DADOS -> TECNICAS DE PROGRAMACAO 1 -> PROJETO E ANALISE DE ALGORITMOS ->  | Peso Total = 24
CALCULO 1 -> CALCULO 2 -> CALCULO NUMERICO ->  | Peso Total = 26
ALGORITMOS PROGR COMPUTADORES -> ESTRUTURAS DE DADOS -> LINGUAGENS DE PROGRAMACAO -> COMPILADORES ->  | Peso Total = 28
ALGEBRA 1 -> AUTOMATOS E COMPUTABILIDADE -> COMPILADORES ->  | Peso Total = 30
ALGORITMOS PROGR COMPUTADORES -> ESTRUTURAS DE DADOS -> REDES DE COMPUTADORES -> SEGURANCA COMPUTACIONAL ->  | Peso Total = 32
ALGORITMOS PROGR COMPUTADORES -> ESTRUTURAS DE DADOS -> SOFTWARE BASICO -> COMPILADORES ->  | Peso Total = 32
CIRCUITOS DIGITAIS -> ORGANIZACAO E ARQUITETURA DE COMPUTADORES -> PROGRAMACAO CONCORRENTE -> FUNDAMENTOS DE SISTEMAS OPERACIONAIS ->  | Peso Total = 36
CIRCUITOS DIGITAIS -> ORGANIZACAO E ARQUITETURA DE COMPUTADORES -> SOFTWARE BASICO -> COMPILADORES ->  | Peso Total = 36
CALCULO 1 -> PROBABILIDADE E ESTATISTICA -> REDES DE COMPUTADORES -> SEGURANCA COMPUTACIONAL ->  | Peso Total = 36
ALGORITMOS PROGR COMPUTADORES -> ESTRUTURAS DE DADOS -> ORGANIZACAO DE ARQUIVOS -> BANCOS DE DADOS -> SISTEMAS DE INFORMACAO ->  | Peso Total = 36
CALCULO 1 -> PROBABILIDADE E ESTATISTICA -> ORGANIZACAO DE ARQUIVOS -> BANCOS DE DADOS -> SISTEMAS DE INFORMACAO ->  | Peso Total = 40
CALCULO 1 -> CALCULO 2 -> REDES DE COMPUTADORES -> SEGURANCA COMPUTACIONAL ->  | Peso Total = 42
ALGORITMOS PROGR COMPUTADORES -> ESTRUTURAS DE DADOS -> TECNICAS DE PROGRAMACAO 1 -> TECNICAS DE PROGRAMACAO 2 -> PROGRAMACAO CONCORRENTE -> FUNDAMENTOS DE SISTEMAS OPERACIONAIS ->  | Peso Total = 44
